id,type,citation,url,sheet_or_page,retrieved_at
src-placeholder,placeholder,"Milestone-1 placeholder. Not researched. Replace before publishing as fact.",,,2026-09-19
src-designation-study,study,"City of Minneapolis, Dinkytown Commercial Historic District Designation Study (2015)",https://www2.minneapolismn.gov/media/content-assets/www2-documents/government/Dinkytown-Historic-Designation-Study-(pdf).pdf,,2026-09-19
src-phd-tour,web,"Preserving Historic Dinkytown, Self-Guided Tour",https://www.preservehistoricdinkytown.org/self-guided-tour,,2026-09-19
src-wiki,web,"Wikipedia, Dinkytown",https://en.wikipedia.org/wiki/Dinkytown,,2026-09-19
src-wiki-als,web,"Wikipedia, Al's Breakfast",https://en.wikipedia.org/wiki/Al%27s_Breakfast,,2026-09-19
src-alumni,article,"Minnesota Alumni Magazine, Dinkytown Past, Present, Future",https://www.minnesotaalumni.org/stories/dinkytown,,2026-09-19
src-popspots,web,"PopSpots, Dinkytown and the Ten O'Clock Scholar in the 60's",https://www.popspotsnyc.com/dinkytown/,,2026-09-19
